paper,productId,variant,size,finish,printing,binding,qty,price
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),1000,1269.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,2000,2299.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),2000,2499.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),2000,2499.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,3000,3389.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),3000,3689.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),3000,3689.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,4000,4669.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),4000,5069.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),4000,5069.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,8000,8189.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),8000,8989.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),8000,8989.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,12000,11269.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),12000,12069.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),12000,12069.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Not Required,16000,14759.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pad (10 x 100 letter heads),16000,15559.0
100 GSM Bond,378,"Letter Head - 100 GSM, Bond Paper ( Letter Size )",Letter,Plain,Single Side,Pockets (10 x 100 Letter Heads),16000,15559.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,500,704.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,1000,1099.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,2000,2189.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,3000,3219.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,4000,4409.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,8000,7679.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,12000,10669.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Not Required,16000,14009.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),500,804.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),1000,1199.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),2000,2389.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),3000,3519.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),4000,4809.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),8000,8479.0
100 GSM Deo,225,"Letter Head - 100 GSM, Deo Paper ( A4 Size )",A4,Plain,Single Side,Pad (100 Letter Heads Per Pad),12000,11469.0
